Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
38820046,21 Lessons for the 21st Century,Yuval Noah Harari,"Harari, Yuval Noah",,"=""0525512179""","=""9780525512172""",0,4.18,Random House,Hardcover,372,2018,2018,,2022/12/03,to-read,to-read (#171),to-read,,,,0,0
62337991,The Genius of Algorand: Technical Elegance and the DeFi Revolution,Anthony Scaramucci,"Scaramucci, Anthony",,"=""1637588712""","=""9781637588710""",0,4.67,,Paperback,,2022,,,2022/11/11,to-read,to-read (#170),to-read,,,,0,0
40651883,Snow Crash,Neal Stephenson,"Stephenson, Neal",,"=""""","=""""",0,4.03,Spectra,Kindle Edition,559,2003,1992,,2022/10/29,to-read,to-read (#169),to-read,,,,0,0
41974111,Life’s Amazing Secrets: How to Find Balance and Purpose in Your Life,Gaur Gopal Das,"Das, Gaur Gopal",,"=""""","=""""",3,4.24,Penguin Ananda,Kindle Edition,169,2018,2018,2022/10/27,2022/04/06,,,read,,,,1,0
25980294,Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,"Newport, Cal",,"=""""","=""""",4,4.19,Grand Central Publishing,Kindle Edition,287,2016,2016,2022/10/13,2021/09/06,,,read,,,,1,0
145055,Algorithm Design,Jon Kleinberg,"Kleinberg, Jon",Éva Tardos,"=""0321295358""","=""9780321295354""",0,4.16,Pearson,Hardcover,864,2005,2005,,2022/10/02,to-read,to-read (#168),to-read,,,,0,0
12836498,Mathematics for Computer Science,Eric Lehman,"Lehman, Eric","F. Thomson Leighton, Albert R. Meyer","=""""","=""""",0,3.91,MIT,ebook,1048,2010,2010,,2022/10/02,to-read,to-read (#167),to-read,,,,0,0
16158498,Give and Take: A Revolutionary Approach to Success,Adam M. Grant,"Grant, Adam M.",,"=""0670026557""","=""9780670026555""",0,4.07,Viking,Hardcover,320,2013,2013,,2022/09/29,to-read,to-read (#166),to-read,,,,0,0
18774655,Flask Web Development: Developing Web Applications with Python,Miguel Grinberg,"Grinberg, Miguel",,"=""1449372627""","=""9781449372620""",0,4.20,O'Reilly Media,Paperback,225,2014,2014,,2022/09/22,to-read,to-read (#165),to-read,,,,0,0
1335019,Necronomicon: The Best Weird Tales,H.P. Lovecraft,"Lovecraft, H.P.","Les Edwards, Stephen              Jones","=""0575081562""","=""9780575081567""",0,4.20,"Gollancz, Great Britain",Hardcover,878,2008,2008,,2022/09/15,to-read,to-read (#164),to-read,,,,0,0
19048144,Code of the Samurai: A Modern Translation of the Bushido Shoshinshu of Taira Shigesuke: A Contemporary Translation of the Bushido Shoshins,Daidōji Yūzan,"Yūzan, Daidōji","Thomas Cleary, Oscar Ratti","=""""","=""""",3,4.04,Tuttle Publishing,Kindle Edition,130,2011,1943,2022/08/21,2021/08/28,,,read,,,,1,0
8205855,"The 4 Hour Workweek, Expanded And Updated: Expanded And Updated, With Over 100 New Pages Of Cutting Edge Content",Timothy Ferriss,"Ferriss, Timothy",,"=""""","=""""",4,3.92,Harmony,Kindle Edition,416,2009,2007,2022/09/08,2021/08/17,,,read,,,,1,0
68542,"The History of Rome, Books 1-5: The Early History of Rome",Livy,"Livy, Livy","Aubrey de Sélincourt, Robert Maxwell Ogilvie, Stephen P. Oakley","=""0140448098""","=""9780140448092""",0,3.95,Penguin Classics,Paperback,488,2002,-29,,2022/09/04,to-read,to-read (#163),to-read,,,,0,0
1362,The Histories,Herodotus,"Herodotus, Herodotus","Aubrey de Sélincourt, John M. Marincola, William Beloe, Henry Creswicke Rawlinson, George Campbell Macaulay","=""0140449086""","=""9780140449082""",0,3.99,Penguin Books,Paperback,716,2003,-450,,2022/09/04,to-read,to-read (#162),to-read,,,,0,0
261243,History of the Peloponnesian War,Thucydides,"Thucydides, Thucydides","Moses I. Finley, Rex Warner, Joseph Wasse","=""0140440399""","=""9780140440393""",0,3.89,Penguin Books,Paperback,648,1972,-411,,2022/09/04,to-read,to-read (#161),to-read,,,,0,0
25574,Common Stocks and Uncommon Profits and Other Writings,Philip A. Fisher,"Fisher, Philip A.",Kenneth L. Fisher,"=""0471445509""","=""9780471445500""",0,4.13,Wiley,Paperback,292,2003,1957,,2022/09/04,to-read,to-read (#160),to-read,,,,0,0
965633,Stocks for the Long Run,Jeremy J. Siegel,"Siegel, Jeremy J.",,"=""007137048X""","=""9780071370486""",0,4.10,McGraw-Hill Companies,Hardcover,383,2002,1994,,2022/09/04,to-read,to-read (#159),to-read,,,,0,0
381440,The Society of the Spectacle,Guy Debord,"Debord, Guy",Donald Nicholson-Smith,"=""0942299795""","=""9780942299793""",0,4.02,Zone Books,Paperback,160,1995,1967,,2022/08/30,to-read,to-read (#158),to-read,,,,0,0
54870131,The Day the World Stops Shopping: How Ending Consumerism Saves the Environment and Ourselves,J.B. MacKinnon,"MacKinnon, J.B.",,"=""0062856022""","=""9780062856029""",0,4.27,Ecco,Hardcover,336,2021,2021,,2022/08/30,to-read,to-read (#157),to-read,,,,0,0
57213320,"Consumed: On Colonialism, Climate Change, Consumerism, and the Need for Collective Change",Aja Barber,"Barber, Aja",,"=""1914240049""","=""9781914240041""",0,4.08,Brazen ,Hardcover,288,2021,2021,,2022/08/30,to-read,to-read (#156),to-read,,,,0,0
51942313,Principles for Success,Ray Dalio,"Dalio, Ray",,"=""1982147210""","=""9781982147211""",0,4.32,Avid Reader Press / Simon  Schuster,Hardcover,160,2019,2019,2022/03/01,2022/03/12,to-read,to-read (#89),to-read,,,,1,0
55317655,Millennial Millionaire: Optimize Your Financial Life and Get Rich,Blake Konrardy,"Konrardy, Blake",Taylor Larimore,"=""""","=""""",0,4.36,,Kindle Edition,210,2020,,2022/03/01,2022/03/05,to-read,to-read (#88),to-read,,,,1,0
38821039,The Making of a Manager: What to Do When Everyone Looks to You,Julie Zhuo,"Zhuo, Julie",,"=""0735219567""","=""9780735219564""",0,4.23,Portfolio,Hardcover,288,2019,2019,,2022/08/24,to-read,to-read (#155),to-read,,,,0,0
2691332,How to Develop a Perfect Memory,Dominic O'Brien,"O'Brien, Dominic",,"=""0747245177""","=""9780747245179""",0,4.15,Headline Book Publishing,Paperback,288,1994,1993,,2022/08/23,to-read,to-read (#154),to-read,,,,0,0
243601,"Imperium (Cicero, #1)",Robert   Harris,"Harris, Robert",,"=""074326603X""","=""9780743266031""",0,4.11,Simon & Schuster,Hardcover,305,2006,2006,,2022/08/23,to-read,to-read (#153),to-read,,,,0,0
3629971,"Conspirata (Cicero, #2)",Robert   Harris,"Harris, Robert",,"=""0743266102""","=""9780743266109""",0,4.23,Simon & Schuster,Hardcover,340,2010,2009,,2022/08/23,to-read,to-read (#152),to-read,,,,0,0
25488982,"Dictator (Cicero, #3)",Robert   Harris,"Harris, Robert",,"=""0307957942""","=""9780307957948""",0,4.39,Knopf,Hardcover,385,2016,2015,,2022/08/23,to-read,to-read (#151),to-read,,,,0,0
